,height,weight,age,gender,fitness_goal,activity,cooking_skill,nationality,user
1416,160,75,60,Female,Keep Fit,Active,basic,Mediterranean,1416
1417,154,45,34,Female,Build Muscle,LowActive,basic,Asian,1417
1418,181,90,23,Male,Lose Weight,Active,basic,Southwestern,1418
1419,148,60,43,Female,Build Muscle,Sedentary,advanced,French,1419
1420,178,100,49,Male,Lose Weight,Sedentary,basic,Spanish,1420
1421,157,100,35,Female,Keep Fit,HighActive,advanced,Asian,1421
1422,169,110,26,Female,Build Muscle,Sedentary,intermediate,Southwestern,1422
1423,124,70,37,Male,Build Muscle,LowActive,advanced,Chinese,1423
1424,175,110,32,Male,Lose Weight,HighActive,advanced,French,1424
1425,133,40,49,Male,Keep Fit,Sedentary,intermediate,Irish,1425
1426,133,95,55,Male,Keep Fit,HighActive,basic,American,1426
1427,130,105,37,Female,Build Muscle,LowActive,advanced,Mediterranean,1427
1428,142,40,46,Female,Build Muscle,Sedentary,basic,American,1428
1429,157,75,46,Female,Build Muscle,Sedentary,basic,Asian,1429
1430,151,75,31,Female,Lose Weight,Sedentary,basic,Southwestern,1430
1431,142,100,45,Male,Keep Fit,Active,intermediate,Chinese,1431
1432,190,60,32,Male,Lose Weight,LowActive,basic,American,1432
1433,148,55,22,Female,Keep Fit,Sedentary,intermediate,Southern & Soul Food,1433
1434,121,40,47,Female,Build Muscle,Active,basic,Southern & Soul Food,1434
1435,139,50,59,Male,Keep Fit,LowActive,basic,Southwestern,1435
1436,136,95,52,Female,Build Muscle,Sedentary,advanced,Irish,1436
1437,151,40,46,Female,Keep Fit,Sedentary,advanced,Greek,1437
1438,136,40,36,Female,Build Muscle,Sedentary,intermediate,Indian,1438
1439,151,55,53,Male,Build Muscle,LowActive,basic,Cuban,1439
1440,133,105,31,Male,Lose Weight,Sedentary,basic,Southern & Soul Food,1440
1441,124,70,37,Male,Keep Fit,Sedentary,advanced,Cajun & Creole,1441
1442,127,65,31,Female,Keep Fit,LowActive,advanced,Italian,1442
1443,178,100,42,Female,Keep Fit,Sedentary,intermediate,Greek,1443
1444,190,90,53,Female,Build Muscle,Active,basic,Hungarian,1444
1445,181,105,40,Male,Keep Fit,Sedentary,advanced,English,1445
1446,172,55,55,Male,Build Muscle,Active,intermediate,Southern & Soul Food,1446
1447,160,60,44,Female,Build Muscle,LowActive,basic,Irish,1447
1448,145,85,31,Female,Build Muscle,Sedentary,basic,Mediterranean,1448
1449,136,85,59,Female,Build Muscle,Active,advanced,Japanese,1449
1450,151,55,33,Female,Lose Weight,LowActive,advanced,Greek,1450
1451,124,90,34,Female,Keep Fit,Sedentary,advanced,Moroccan,1451
1452,169,70,57,Female,Keep Fit,LowActive,intermediate,Cuban,1452
1453,181,110,55,Male,Build Muscle,HighActive,advanced,Mediterranean,1453
1454,148,65,59,Female,Keep Fit,Sedentary,advanced,Mexican,1454
1455,142,75,21,Male,Build Muscle,HighActive,advanced,German,1455
1456,136,60,46,Male,Keep Fit,Active,intermediate,Southern & Soul Food,1456
1457,145,55,54,Female,Keep Fit,LowActive,advanced,Spanish,1457
1458,166,105,36,Female,Build Muscle,LowActive,basic,Southern & Soul Food,1458
1459,181,80,53,Female,Keep Fit,LowActive,advanced,Hungarian,1459
1460,172,55,57,Male,Build Muscle,LowActive,intermediate,Indian,1460
1461,130,65,50,Female,Keep Fit,Active,basic,Asian,1461
1462,121,85,40,Female,Build Muscle,LowActive,basic,Greek,1462
1463,166,75,37,Female,Keep Fit,Active,intermediate,Italian,1463
1464,124,60,56,Male,Build Muscle,HighActive,intermediate,Asian,1464
1465,121,90,57,Female,Build Muscle,Active,advanced,Swedish,1465
1466,154,65,29,Male,Lose Weight,LowActive,basic,Hungarian,1466
1467,127,85,32,Female,Keep Fit,HighActive,advanced,French,1467
1468,190,90,24,Male,Build Muscle,LowActive,basic,Hungarian,1468
1469,133,70,55,Male,Lose Weight,LowActive,advanced,Spanish,1469
1470,160,110,43,Female,Lose Weight,Active,basic,Southern & Soul Food,1470
1471,160,50,40,Male,Build Muscle,Active,basic,Chinese,1471
1472,136,55,56,Female,Build Muscle,Active,advanced,Hungarian,1472
1473,178,75,55,Female,Keep Fit,Sedentary,basic,Thai,1473
1474,157,45,34,Female,Keep Fit,Sedentary,basic,German,1474
1475,178,45,60,Female,Build Muscle,Active,basic,German,1475
1476,121,60,39,Female,Lose Weight,Active,intermediate,Asian,1476
1477,178,100,35,Male,Keep Fit,LowActive,basic,Thai,1477
1478,163,65,48,Male,Lose Weight,Active,intermediate,Mexican,1478
1479,121,90,42,Male,Lose Weight,Sedentary,basic,French,1479
1480,133,110,29,Female,Build Muscle,HighActive,basic,Cuban,1480
1481,136,105,31,Male,Keep Fit,LowActive,advanced,Indian,1481
1482,160,50,23,Male,Build Muscle,Active,advanced,French,1482
1483,169,100,47,Male,Build Muscle,LowActive,intermediate,Greek,1483
1484,136,45,28,Female,Build Muscle,Sedentary,advanced,Thai,1484
1485,145,90,26,Male,Lose Weight,Sedentary,basic,Moroccan,1485
1486,142,60,50,Male,Keep Fit,Sedentary,advanced,Chinese,1486
1487,133,95,28,Female,Build Muscle,Sedentary,advanced,Indian,1487
1488,133,55,29,Male,Keep Fit,Sedentary,basic,Greek,1488
1489,124,50,48,Female,Build Muscle,Active,basic,Italian,1489
1490,145,105,32,Female,Lose Weight,LowActive,intermediate,German,1490
1491,175,110,58,Female,Lose Weight,LowActive,advanced,Indian,1491
1492,142,100,48,Male,Build Muscle,Sedentary,advanced,American,1492
1493,190,110,20,Male,Lose Weight,Sedentary,basic,Chinese,1493
1494,145,105,55,Female,Build Muscle,Sedentary,intermediate,Mediterranean,1494
1495,160,50,38,Female,Build Muscle,Active,advanced,French,1495
1496,124,110,52,Male,Keep Fit,Active,basic,Asian,1496
1497,190,100,38,Male,Build Muscle,HighActive,intermediate,Moroccan,1497
1498,175,85,60,Male,Build Muscle,Active,intermediate,Hungarian,1498
1499,127,100,27,Male,Keep Fit,Sedentary,basic,Cajun & Creole,1499
1500,148,70,47,Female,Build Muscle,Sedentary,basic,Irish,1500
1501,169,55,21,Female,Lose Weight,Active,intermediate,English,1501
1502,154,85,27,Male,Lose Weight,Active,intermediate,French,1502
1503,130,60,24,Male,Lose Weight,Active,basic,Mediterranean,1503
1504,151,95,51,Female,Keep Fit,Sedentary,basic,Swedish,1504
1505,157,110,46,Female,Lose Weight,LowActive,advanced,Chinese,1505
1506,184,110,59,Male,Build Muscle,HighActive,advanced,French,1506
1507,121,60,46,Male,Build Muscle,HighActive,advanced,Greek,1507
1508,127,100,49,Male,Keep Fit,Active,basic,Chinese,1508
1509,169,85,58,Female,Lose Weight,Active,advanced,Italian,1509
1510,166,75,51,Female,Build Muscle,Active,basic,Mexican,1510
1511,157,80,54,Female,Lose Weight,Active,intermediate,Mediterranean,1511
1512,181,55,26,Female,Build Muscle,Sedentary,advanced,Mediterranean,1512
1513,133,40,33,Female,Build Muscle,LowActive,advanced,Thai,1513
1514,157,85,39,Male,Lose Weight,LowActive,advanced,Swedish,1514
1515,169,75,34,Female,Keep Fit,Sedentary,basic,Spanish,1515
1516,148,60,21,Male,Keep Fit,LowActive,advanced,Japanese,1516
1517,142,70,58,Female,Keep Fit,LowActive,basic,Moroccan,1517
1518,154,45,44,Female,Lose Weight,Active,intermediate,Irish,1518
1519,163,75,59,Female,Build Muscle,Sedentary,basic,Thai,1519
1520,151,110,60,Female,Build Muscle,HighActive,advanced,Hungarian,1520
1521,142,55,23,Female,Keep Fit,Sedentary,advanced,Japanese,1521
1522,136,75,40,Male,Lose Weight,Active,intermediate,Hungarian,1522
1523,190,50,54,Male,Keep Fit,HighActive,advanced,English,1523
1524,145,110,37,Male,Lose Weight,LowActive,basic,Cajun & Creole,1524
1525,178,100,41,Male,Lose Weight,HighActive,advanced,Italian,1525
1526,127,55,20,Female,Lose Weight,Active,basic,American,1526
1527,133,95,53,Female,Lose Weight,Active,basic,Hungarian,1527
1528,133,40,39,Female,Lose Weight,Sedentary,basic,Swedish,1528
1529,148,90,31,Male,Lose Weight,Active,advanced,Southwestern,1529
1530,175,80,35,Male,Lose Weight,Sedentary,advanced,Cajun & Creole,1530
1531,145,40,50,Male,Build Muscle,HighActive,advanced,American,1531
1532,139,75,47,Male,Lose Weight,LowActive,intermediate,Spanish,1532
1533,169,85,60,Male,Keep Fit,HighActive,intermediate,Southwestern,1533
1534,172,45,29,Male,Build Muscle,LowActive,intermediate,Irish,1534
1535,175,65,40,Male,Keep Fit,Sedentary,advanced,French,1535
1536,148,80,56,Female,Keep Fit,HighActive,basic,Swedish,1536
1537,178,95,21,Male,Lose Weight,Sedentary,advanced,Cajun & Creole,1537
1538,181,50,58,Female,Build Muscle,Sedentary,basic,Cajun & Creole,1538
1539,181,95,20,Female,Keep Fit,HighActive,intermediate,Asian,1539
1540,175,55,54,Female,Lose Weight,LowActive,advanced,Asian,1540
1541,136,80,21,Male,Keep Fit,Active,intermediate,Southwestern,1541
1542,142,95,38,Female,Lose Weight,HighActive,intermediate,Cuban,1542
1543,157,55,51,Female,Lose Weight,Active,advanced,Greek,1543
1544,133,95,58,Male,Keep Fit,LowActive,basic,Cajun & Creole,1544
1545,157,55,54,Female,Keep Fit,HighActive,intermediate,Swedish,1545
1546,136,100,24,Male,Keep Fit,Sedentary,intermediate,German,1546
1547,130,40,28,Female,Keep Fit,LowActive,advanced,Indian,1547
1548,160,65,59,Female,Lose Weight,Active,intermediate,Southwestern,1548
1549,154,45,37,Male,Lose Weight,Active,basic,Mediterranean,1549
1550,124,90,49,Male,Lose Weight,HighActive,intermediate,Cuban,1550
1551,148,90,31,Male,Keep Fit,HighActive,basic,English,1551
1552,121,60,24,Female,Build Muscle,LowActive,advanced,Swedish,1552
1553,133,80,60,Female,Lose Weight,LowActive,basic,Mexican,1553
1554,130,55,57,Male,Keep Fit,Sedentary,basic,Spanish,1554
1555,121,75,36,Female,Keep Fit,LowActive,basic,French,1555
1556,148,70,20,Female,Keep Fit,HighActive,advanced,Mediterranean,1556
1557,187,70,30,Female,Build Muscle,Sedentary,basic,Italian,1557
1558,172,70,25,Female,Lose Weight,HighActive,intermediate,Indian,1558
1559,130,85,56,Male,Lose Weight,HighActive,advanced,Cajun & Creole,1559
1560,175,80,41,Female,Lose Weight,Sedentary,basic,Asian,1560
1561,154,40,38,Male,Build Muscle,LowActive,basic,Japanese,1561
1562,175,70,46,Female,Build Muscle,Active,intermediate,Swedish,1562
1563,160,65,34,Female,Build Muscle,Sedentary,advanced,Greek,1563
1564,187,50,44,Female,Keep Fit,HighActive,intermediate,Cuban,1564
1565,154,70,53,Male,Lose Weight,Active,basic,Mediterranean,1565
1566,130,75,44,Male,Keep Fit,Active,intermediate,French,1566
1567,145,100,30,Female,Build Muscle,Active,basic,Italian,1567
1568,187,85,25,Female,Build Muscle,LowActive,advanced,Southern & Soul Food,1568
1569,169,45,23,Male,Build Muscle,LowActive,advanced,Moroccan,1569
1570,181,40,51,Male,Lose Weight,Sedentary,intermediate,Italian,1570
1571,184,110,20,Male,Build Muscle,HighActive,intermediate,Mediterranean,1571
1572,130,45,36,Female,Lose Weight,Sedentary,advanced,Irish,1572
1573,184,95,44,Female,Keep Fit,Active,intermediate,Moroccan,1573
1574,172,50,49,Female,Lose Weight,Sedentary,intermediate,Irish,1574
1575,127,110,36,Male,Build Muscle,Sedentary,basic,Asian,1575
1576,175,50,29,Male,Lose Weight,Sedentary,advanced,Hungarian,1576
1577,151,50,33,Male,Lose Weight,HighActive,intermediate,Southwestern,1577
1578,136,55,50,Female,Lose Weight,LowActive,advanced,Greek,1578
1579,172,105,52,Male,Build Muscle,Active,intermediate,Moroccan,1579
1580,181,55,47,Female,Build Muscle,Active,basic,American,1580
1581,148,80,20,Male,Build Muscle,HighActive,advanced,Cuban,1581
1582,190,105,23,Male,Build Muscle,Active,intermediate,American,1582
1583,124,85,42,Female,Build Muscle,Active,basic,Italian,1583
1584,145,100,29,Male,Keep Fit,HighActive,intermediate,Swedish,1584
1585,136,110,42,Female,Build Muscle,Active,basic,French,1585
1586,130,45,54,Male,Lose Weight,HighActive,intermediate,Swedish,1586
1587,184,45,49,Male,Build Muscle,LowActive,intermediate,Japanese,1587
1588,181,45,48,Female,Build Muscle,HighActive,intermediate,Spanish,1588
1589,160,105,26,Male,Lose Weight,HighActive,basic,Southern & Soul Food,1589
1590,172,55,48,Female,Build Muscle,Sedentary,basic,Indian,1590
1591,187,90,56,Female,Lose Weight,Sedentary,intermediate,Greek,1591
1592,157,55,24,Male,Build Muscle,Sedentary,intermediate,Cajun & Creole,1592
1593,133,90,57,Female,Lose Weight,Sedentary,intermediate,Cajun & Creole,1593
1594,172,50,43,Male,Lose Weight,Sedentary,intermediate,Cajun & Creole,1594
1595,187,60,44,Female,Build Muscle,HighActive,intermediate,Indian,1595
1596,142,50,44,Female,Keep Fit,Active,basic,Chinese,1596
1597,166,70,23,Male,Lose Weight,HighActive,intermediate,Asian,1597
1598,184,60,44,Female,Build Muscle,HighActive,basic,German,1598
1599,166,110,28,Female,Lose Weight,Sedentary,intermediate,Thai,1599
1600,136,60,49,Male,Build Muscle,Sedentary,intermediate,Swedish,1600
1601,136,105,24,Male,Lose Weight,LowActive,intermediate,Southern & Soul Food,1601
1602,136,55,41,Male,Keep Fit,HighActive,basic,Irish,1602
1603,181,100,40,Male,Keep Fit,HighActive,intermediate,Moroccan,1603
1604,130,50,57,Female,Keep Fit,Active,intermediate,Southwestern,1604
1605,175,55,48,Female,Keep Fit,Active,advanced,Spanish,1605
1606,154,85,27,Female,Lose Weight,Active,basic,American,1606
1607,172,70,47,Female,Build Muscle,LowActive,basic,Mediterranean,1607
1608,190,80,23,Female,Build Muscle,Sedentary,intermediate,French,1608
1609,157,75,42,Female,Build Muscle,Sedentary,basic,Cajun & Creole,1609
1610,184,70,22,Female,Keep Fit,Sedentary,basic,Mexican,1610
1611,133,85,38,Male,Lose Weight,HighActive,advanced,Moroccan,1611
1612,163,45,24,Male,Build Muscle,Active,intermediate,Southwestern,1612
1613,136,95,42,Female,Keep Fit,LowActive,intermediate,French,1613
1614,187,85,22,Female,Keep Fit,Sedentary,basic,Swedish,1614
1615,136,50,27,Female,Lose Weight,Sedentary,intermediate,Italian,1615
1616,133,65,49,Female,Build Muscle,LowActive,intermediate,Cuban,1616
1617,178,65,47,Male,Build Muscle,LowActive,advanced,German,1617
1618,127,65,31,Male,Lose Weight,Active,intermediate,Cajun & Creole,1618
1619,157,100,58,Female,Build Muscle,LowActive,basic,French,1619
1620,166,80,34,Male,Keep Fit,HighActive,basic,American,1620
1621,121,100,26,Male,Keep Fit,Sedentary,basic,Irish,1621
1622,163,70,40,Female,Keep Fit,LowActive,advanced,Italian,1622
1623,145,75,48,Female,Keep Fit,HighActive,basic,Greek,1623
1624,133,90,34,Male,Lose Weight,LowActive,advanced,Southern & Soul Food,1624
1625,172,95,32,Male,Lose Weight,Sedentary,basic,Asian,1625
1626,154,80,29,Male,Keep Fit,LowActive,advanced,Mediterranean,1626
1627,139,80,23,Male,Lose Weight,LowActive,intermediate,Cuban,1627
1628,136,100,20,Male,Keep Fit,Sedentary,intermediate,Spanish,1628
1629,169,95,21,Female,Keep Fit,Active,intermediate,Spanish,1629
1630,181,85,57,Female,Build Muscle,LowActive,intermediate,Moroccan,1630
1631,127,55,24,Female,Build Muscle,HighActive,basic,Irish,1631
1632,175,60,58,Female,Keep Fit,Sedentary,intermediate,Thai,1632
1633,163,85,21,Female,Keep Fit,LowActive,intermediate,Swedish,1633
1634,166,75,53,Female,Build Muscle,Active,basic,German,1634
1635,121,80,53,Male,Keep Fit,Sedentary,basic,American,1635
1636,160,95,50,Male,Lose Weight,Active,intermediate,Cajun & Creole,1636
1637,130,105,46,Female,Lose Weight,Active,intermediate,Hungarian,1637
1638,145,45,36,Male,Lose Weight,Sedentary,basic,Moroccan,1638
1639,154,70,49,Female,Lose Weight,Sedentary,basic,Asian,1639
1640,169,55,24,Male,Build Muscle,Sedentary,basic,Hungarian,1640
1641,130,105,20,Male,Lose Weight,Active,advanced,English,1641
1642,166,50,22,Female,Build Muscle,LowActive,basic,Italian,1642
1643,163,105,25,Female,Lose Weight,LowActive,intermediate,Southwestern,1643
1644,187,100,60,Female,Keep Fit,Sedentary,intermediate,Irish,1644
1645,136,75,25,Male,Build Muscle,HighActive,intermediate,Southwestern,1645
1646,187,105,47,Male,Keep Fit,HighActive,basic,Mexican,1646
1647,178,80,22,Male,Keep Fit,Sedentary,basic,Cajun & Creole,1647
1648,184,90,28,Male,Keep Fit,HighActive,intermediate,Mexican,1648
1649,181,90,46,Male,Build Muscle,Sedentary,basic,Cajun & Creole,1649
1650,160,95,37,Female,Build Muscle,Sedentary,basic,Spanish,1650
1651,172,110,42,Male,Build Muscle,LowActive,basic,Greek,1651
1652,181,75,32,Female,Build Muscle,Active,intermediate,Japanese,1652
1653,151,45,44,Female,Build Muscle,Sedentary,advanced,Mexican,1653
1654,175,45,28,Male,Keep Fit,HighActive,intermediate,Cuban,1654
1655,145,70,49,Female,Build Muscle,LowActive,intermediate,Cuban,1655
1656,130,105,22,Female,Build Muscle,LowActive,intermediate,Greek,1656
1657,187,105,22,Male,Build Muscle,HighActive,advanced,Cajun & Creole,1657
1658,139,110,35,Male,Keep Fit,Active,advanced,Indian,1658
1659,133,80,49,Male,Keep Fit,Active,intermediate,Irish,1659
1660,169,45,45,Female,Build Muscle,Sedentary,intermediate,Mediterranean,1660
1661,169,45,26,Male,Lose Weight,HighActive,basic,Greek,1661
1662,148,40,58,Female,Build Muscle,Active,basic,Moroccan,1662
1663,175,65,42,Male,Lose Weight,LowActive,intermediate,Asian,1663
1664,124,75,54,Female,Lose Weight,HighActive,advanced,Cuban,1664
1665,175,45,34,Male,Build Muscle,LowActive,basic,Irish,1665
1666,124,60,29,Male,Lose Weight,Sedentary,advanced,Mediterranean,1666
1667,187,60,46,Female,Keep Fit,Sedentary,basic,Chinese,1667
1668,124,75,23,Male,Lose Weight,Active,basic,Irish,1668
1669,142,45,21,Female,Keep Fit,HighActive,intermediate,Japanese,1669
1670,190,55,39,Male,Build Muscle,Active,intermediate,Thai,1670
1671,172,55,59,Female,Build Muscle,LowActive,advanced,Cajun & Creole,1671
1672,133,50,21,Female,Lose Weight,LowActive,intermediate,Irish,1672
1673,130,70,38,Male,Build Muscle,Active,basic,Greek,1673
1674,160,70,42,Male,Build Muscle,Sedentary,basic,American,1674
1675,148,70,31,Female,Build Muscle,Sedentary,intermediate,Indian,1675
1676,172,45,45,Male,Build Muscle,LowActive,basic,Spanish,1676
1677,121,85,23,Male,Build Muscle,Active,basic,Asian,1677
1678,190,60,33,Male,Lose Weight,LowActive,basic,Chinese,1678
1679,184,85,20,Male,Build Muscle,HighActive,intermediate,American,1679
1680,130,90,46,Male,Lose Weight,Sedentary,intermediate,Swedish,1680
1681,160,55,47,Male,Build Muscle,Sedentary,advanced,Hungarian,1681
1682,154,85,44,Female,Build Muscle,HighActive,advanced,Swedish,1682
1683,172,100,24,Female,Build Muscle,HighActive,advanced,English,1683
1684,127,40,48,Female,Lose Weight,LowActive,basic,Irish,1684
1685,190,45,29,Female,Keep Fit,LowActive,intermediate,Italian,1685
1686,175,85,53,Female,Build Muscle,Active,advanced,Thai,1686
1687,169,55,59,Male,Lose Weight,Sedentary,basic,Greek,1687
1688,184,80,40,Male,Build Muscle,HighActive,advanced,Southern & Soul Food,1688
1689,172,50,23,Female,Lose Weight,LowActive,advanced,Southern & Soul Food,1689
1690,175,75,52,Male,Keep Fit,Active,intermediate,Asian,1690
1691,157,45,36,Female,Keep Fit,Sedentary,advanced,Hungarian,1691
1692,142,110,42,Male,Lose Weight,Active,intermediate,Cuban,1692
1693,190,90,39,Female,Build Muscle,Sedentary,advanced,Swedish,1693
1694,124,60,37,Male,Build Muscle,Sedentary,basic,Japanese,1694
1695,121,110,38,Male,Lose Weight,LowActive,basic,Mediterranean,1695
1696,160,95,59,Female,Lose Weight,LowActive,intermediate,Japanese,1696
1697,133,65,51,Female,Lose Weight,HighActive,intermediate,Moroccan,1697
1698,130,85,34,Female,Keep Fit,LowActive,basic,Spanish,1698
1699,154,65,33,Female,Keep Fit,Active,advanced,Moroccan,1699
1700,157,50,49,Male,Keep Fit,Active,basic,French,1700
1701,133,100,22,Male,Keep Fit,LowActive,basic,Mediterranean,1701
1702,148,90,40,Female,Lose Weight,LowActive,intermediate,American,1702
1703,160,100,36,Male,Keep Fit,Sedentary,basic,Hungarian,1703
1704,139,45,53,Male,Keep Fit,Active,intermediate,Swedish,1704
1705,145,100,58,Male,Keep Fit,HighActive,advanced,Cajun & Creole,1705
1706,136,100,32,Female,Keep Fit,Active,advanced,Irish,1706
1707,166,55,48,Female,Keep Fit,HighActive,intermediate,Swedish,1707
1708,169,80,45,Male,Lose Weight,Sedentary,intermediate,Mediterranean,1708
1709,148,90,23,Male,Build Muscle,Sedentary,basic,Indian,1709
1710,190,110,24,Female,Lose Weight,Active,basic,Spanish,1710
1711,172,70,24,Male,Build Muscle,Sedentary,advanced,Cuban,1711
1712,157,40,58,Female,Build Muscle,Active,basic,Japanese,1712
1713,169,85,45,Male,Build Muscle,Sedentary,basic,Japanese,1713
1714,178,85,36,Female,Build Muscle,Active,basic,Thai,1714
1715,190,80,49,Male,Keep Fit,Active,advanced,Greek,1715
1716,181,50,52,Female,Keep Fit,HighActive,intermediate,Moroccan,1716
1717,187,50,49,Female,Build Muscle,Active,advanced,Swedish,1717
1718,175,50,26,Female,Lose Weight,Sedentary,intermediate,Chinese,1718
1719,148,45,60,Female,Build Muscle,LowActive,intermediate,Southern & Soul Food,1719
1720,163,100,56,Female,Build Muscle,Sedentary,advanced,Southwestern,1720
1721,181,40,20,Male,Build Muscle,Sedentary,basic,Mexican,1721
1722,175,105,26,Female,Lose Weight,Active,advanced,English,1722
1723,181,105,43,Male,Keep Fit,HighActive,advanced,Greek,1723
1724,172,50,55,Male,Keep Fit,Sedentary,basic,Irish,1724
1725,121,60,56,Male,Lose Weight,Active,advanced,French,1725
1726,127,60,32,Male,Lose Weight,Active,basic,Greek,1726
1727,130,50,21,Male,Build Muscle,Active,intermediate,Italian,1727
1728,166,95,53,Male,Lose Weight,LowActive,advanced,French,1728
1729,187,90,22,Male,Lose Weight,LowActive,basic,Italian,1729
1730,151,45,30,Male,Build Muscle,Active,basic,French,1730
1731,121,50,42,Female,Lose Weight,LowActive,basic,German,1731
1732,175,95,24,Male,Keep Fit,LowActive,intermediate,Chinese,1732
1733,166,55,53,Male,Lose Weight,Sedentary,advanced,Cajun & Creole,1733
1734,151,60,39,Male,Lose Weight,Active,basic,Spanish,1734
1735,151,40,28,Female,Lose Weight,HighActive,basic,Mexican,1735
1736,154,70,52,Male,Lose Weight,Active,basic,French,1736
1737,163,40,49,Female,Lose Weight,Sedentary,intermediate,Hungarian,1737
1738,175,70,60,Male,Keep Fit,Active,intermediate,Asian,1738
1739,157,100,35,Female,Lose Weight,Sedentary,basic,Swedish,1739
1740,172,95,42,Male,Build Muscle,HighActive,advanced,Greek,1740
1741,154,40,48,Female,Build Muscle,Active,advanced,Swedish,1741
1742,157,100,39,Female,Build Muscle,LowActive,basic,Asian,1742
1743,145,50,23,Male,Lose Weight,Sedentary,basic,Indian,1743
1744,187,70,20,Female,Lose Weight,Active,intermediate,Chinese,1744
1745,157,75,48,Female,Lose Weight,HighActive,basic,German,1745
1746,145,70,32,Female,Build Muscle,Sedentary,intermediate,English,1746
1747,163,55,60,Female,Keep Fit,LowActive,basic,German,1747
1748,178,85,59,Male,Build Muscle,Active,intermediate,Japanese,1748
1749,169,70,44,Male,Build Muscle,Active,intermediate,English,1749
1750,187,65,23,Male,Build Muscle,Active,basic,German,1750
1751,166,45,51,Female,Build Muscle,LowActive,basic,Mediterranean,1751
1752,166,50,29,Male,Build Muscle,HighActive,advanced,Southern & Soul Food,1752
1753,178,45,21,Female,Keep Fit,Active,advanced,Spanish,1753
1754,133,45,36,Male,Lose Weight,Active,advanced,American,1754
1755,187,110,57,Female,Build Muscle,LowActive,basic,Southwestern,1755
1756,160,90,31,Female,Keep Fit,Active,advanced,Hungarian,1756
1757,187,70,50,Male,Build Muscle,Sedentary,advanced,Mexican,1757
1758,172,110,33,Female,Keep Fit,Sedentary,advanced,French,1758
1759,169,90,50,Male,Keep Fit,Active,intermediate,English,1759
1760,181,80,32,Female,Keep Fit,Active,advanced,German,1760
1761,160,60,24,Female,Lose Weight,HighActive,advanced,Thai,1761
1762,184,50,55,Male,Build Muscle,Active,intermediate,Swedish,1762
1763,139,85,48,Female,Keep Fit,HighActive,advanced,Cuban,1763
1764,157,65,43,Male,Keep Fit,HighActive,intermediate,Southern & Soul Food,1764
1765,154,40,25,Female,Build Muscle,Active,advanced,Spanish,1765
1766,160,45,25,Female,Lose Weight,HighActive,advanced,Southwestern,1766
1767,127,80,20,Female,Keep Fit,Active,intermediate,Spanish,1767
1768,124,65,32,Male,Build Muscle,LowActive,intermediate,Cajun & Creole,1768
1769,142,80,33,Male,Build Muscle,Sedentary,advanced,English,1769
1770,139,95,50,Female,Keep Fit,Sedentary,basic,Asian,1770
1771,157,75,49,Female,Lose Weight,LowActive,intermediate,Spanish,1771
1772,136,90,42,Male,Lose Weight,Active,advanced,Irish,1772
1773,190,65,31,Male,Keep Fit,HighActive,basic,American,1773
1774,181,100,44,Male,Keep Fit,HighActive,basic,Hungarian,1774
1775,148,95,51,Male,Build Muscle,Sedentary,basic,American,1775
1776,148,90,57,Female,Build Muscle,Active,intermediate,Chinese,1776
1777,148,100,21,Female,Lose Weight,HighActive,basic,English,1777
1778,151,40,58,Female,Keep Fit,LowActive,intermediate,American,1778
1779,172,40,37,Female,Lose Weight,HighActive,basic,Swedish,1779
1780,160,65,46,Female,Keep Fit,HighActive,advanced,Cuban,1780
1781,175,50,56,Female,Lose Weight,Active,intermediate,Southwestern,1781
1782,151,105,41,Female,Build Muscle,Sedentary,intermediate,Cajun & Creole,1782
1783,136,70,44,Male,Lose Weight,Active,intermediate,Japanese,1783
1784,121,50,23,Male,Keep Fit,Active,basic,Mediterranean,1784
1785,157,80,39,Female,Build Muscle,Sedentary,advanced,Asian,1785
1786,172,65,22,Male,Keep Fit,Sedentary,basic,Greek,1786
1787,190,90,32,Male,Keep Fit,Active,intermediate,German,1787
1788,169,80,36,Male,Build Muscle,Active,advanced,Mediterranean,1788
1789,187,95,52,Male,Keep Fit,LowActive,basic,American,1789
1790,139,110,38,Female,Keep Fit,Active,advanced,Italian,1790
1791,157,55,57,Male,Build Muscle,Active,basic,Asian,1791
1792,175,55,57,Male,Lose Weight,HighActive,intermediate,Southern & Soul Food,1792
1793,175,105,40,Female,Lose Weight,Active,basic,Irish,1793
1794,133,60,50,Female,Build Muscle,Sedentary,basic,Thai,1794
1795,151,50,29,Female,Build Muscle,LowActive,basic,Indian,1795
1796,172,80,52,Female,Build Muscle,Sedentary,advanced,English,1796
1797,157,40,55,Male,Lose Weight,HighActive,advanced,Mediterranean,1797
1798,139,60,58,Female,Keep Fit,Active,advanced,German,1798
1799,169,95,31,Male,Build Muscle,HighActive,advanced,Cajun & Creole,1799
1800,142,105,57,Male,Keep Fit,Active,intermediate,American,1800
1801,121,90,45,Male,Build Muscle,HighActive,intermediate,Hungarian,1801
1802,151,105,49,Male,Keep Fit,LowActive,intermediate,Cajun & Creole,1802
1803,142,110,57,Female,Keep Fit,LowActive,basic,French,1803
1804,190,100,56,Female,Lose Weight,HighActive,intermediate,American,1804
1805,136,110,31,Male,Lose Weight,Sedentary,basic,Southern & Soul Food,1805
1806,148,110,42,Male,Lose Weight,Sedentary,basic,Mediterranean,1806
1807,142,90,37,Female,Build Muscle,Sedentary,intermediate,French,1807
